x_m,y_m
-1.650000000000008571e+00,9.243891402714996985e+00
-1.750000000000009104e+00,9.258778280543051409e+00
-1.850000000000009859e+00,9.272760180995540225e+00
-1.950000000000010392e+00,9.282217194570201002e+00
-2.050000000000011369e+00,9.283529411764771311e+00
-2.150000000000011902e+00,9.280000000000065086e+00
-2.250000000000012879e+00,9.280000000000065086e+00
-2.350000000000013856e+00,9.280000000000065086e+00
-2.450000000000014388e+00,9.280000000000065086e+00
-2.550000000000015810e+00,9.280000000000065086e+00
-2.650000000000015898e+00,9.280000000000065086e+00
-2.750000000000016875e+00,9.280000000000065086e+00
-2.850000000000017408e+00,9.280000000000065086e+00
-2.950000000000018385e+00,9.280000000000065086e+00
-3.050000000000018474e+00,9.280000000000065086e+00
-3.150000000000019451e+00,9.275882352941241749e+00
-3.250000000000019984e+00,9.281719457013640096e+00
-3.350000000000020961e+00,9.293891402714997696e+00
-3.450000000000021494e+00,9.308778280543052119e+00
-3.550000000000022027e+00,9.322760180995540935e+00
-3.650000000000022560e+00,9.332217194570201713e+00
-3.750000000000023537e+00,9.333529411764772021e+00
-3.850000000000024514e+00,9.330000000000065796e+00
-3.950000000000025047e+00,9.330000000000065796e+00
-4.050000000000025580e+00,9.330000000000065796e+00
-4.150000000000026112e+00,9.330000000000065796e+00
-4.250000000000026645e+00,9.330000000000065796e+00
-4.350000000000028066e+00,9.330000000000065796e+00
-4.450000000000028599e+00,9.330000000000065796e+00
-4.550000000000029132e+00,9.330000000000065796e+00
-4.650000000000030553e+00,9.330000000000065796e+00
-4.750000000000030198e+00,9.326470588235359571e+00
-4.850000000000030731e+00,9.327782805429929880e+00
-4.950000000000031264e+00,9.337239819004590657e+00
-5.050000000000032685e+00,9.351221719457077697e+00
-5.150000000000032330e+00,9.366108597285132120e+00
-5.250000000000033751e+00,9.378280542986487944e+00
-5.350000000000034284e+00,9.384117647058886291e+00
-5.450000000000034817e+00,9.380000000000062954e+00
-5.550000000000035350e+00,9.380000000000062954e+00
-5.650000000000036771e+00,9.380000000000062954e+00
-5.750000000000037303e+00,9.376470588235356729e+00
-5.850000000000037836e+00,9.377782805429927038e+00
-5.950000000000039257e+00,9.387239819004587815e+00
-6.050000000000039790e+00,9.401221719457076631e+00
-6.150000000000039435e+00,9.416108597285132831e+00
-6.250000000000040856e+00,9.428280542986490431e+00
-6.350000000000040501e+00,9.434117647058888778e+00
-6.450000000000041922e+00,9.430000000000065441e+00
-6.550000000000042455e+00,9.430000000000065441e+00
